"
                        🤼
                        Wrestling


"
"
                        🏈
                        American Football


"
"
                        🎯
                        Archery


"
"
                        🤸
                        Artistic Gymnastics


"
"
                        🏊
                        Artistic Swimming


"
"
                        🏃
                        Athletics


"
"
                        🏸
                        Badminton


"
"
                        ⚾
                        Baseball


"
"
                        🏀
                        Basketball


"
"
                        ⚽
                        Beach Soccer


"
"
                        🏐
                        Beach Volleyball


"
"
                        🥊
                        Boxing


"
"
                        🛶
                        Canoeing


"
"
                        🚴
                        Cycling


"
"
                        🏏
                        Cricket


"
"
                        🏊
                        Diving


"
"
                        🏇
                        Equestrian


"
"
                        🤺
                        Fencing


"
"
                        🏑
                        Field Hockey


"
"
                        ⚽
                        Football


"
"
                        ⚽
                        Futsal


"
"
                        ⛳
                        Golf


"
"
                        🤾
                        Handball


"
"
                        🥋
                        Judo


"
"
                        🥋
                        Karate


"
"
                        🥍
                        Lacrosse


"
"
                        🤻
                        Modern Pentathlon


"
"
                        🏊
                        Open Water Swimming


"
"
                        🤸
                        Rhythmic Gymnastics


"
"
                        🚣
                        Rowing


"
"
                        🏉
                        Rugby


"
"
                        ⛵
                        Sailing


"
"
                        🤼
                        Sambo


"
"
                        🔫
                        Shooting


"
"
                        🛹
                        Skateboarding


"
"
                        🥎
                        Softball


"
"
                        🧗
                        Sport Climbing


"
"
                        🏄
                        Surfing


"
"
                        🏊
                        Swimming


"
"
                        🏓
                        Table Tennis


"
"
                        🥋
                        Taekwondo


"
"
                        🎾
                        Tennis


"
"
                        🤸
                        Trampoline


"
"
                        🏊🚴🏃
                        Triathlon


"
"
                        🏐
                        Volleyball


"
"
                        🤽
                        Water Polo


"
"
                        🏋
                        Weightlifting


"
"
                        🤼
                        Wrestling


"
